request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_195,602.13,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1170.40 request. Although EUR 602.13 is available today, the full amount cannot be completed safely within 90 days."
request_196,762.30,affordable_now,full_payment,2024-06-03:762.30,2024-06-03,none,Pay EUR 762.30 today. This leaves at least EUR 500 available over the next 90 days.
request_197,20186284.07,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 50939000 request. Although IDR 20186284.07 is available today, the full amount cannot be completed safely within 90 days."
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,Pay INR 185800 today. This leaves at least INR 124300 available over the next 90 days.
request_199,23674000,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,"Use 3 installments of IDR 8206986.67, starting 7 September 2024. This leaves at least IDR 25359500 available."
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,Pay IDR 21717000 today. This leaves at least IDR 20114600 available over the next 90 days.
request_201,23997000,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,Pay IDR 23997000 today. This leaves at least IDR 17304500 available over the next 90 days.
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,Pay INR 123900 today. This leaves at least INR 147800 available over the next 90 days.
request_203,1442.10,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,"Use 3 installments of EUR 499.93, starting 10 May 2025. This leaves at least EUR 1400 available."
request_204,588.74,affordable_now,full_payment,2026-01-04:588.74,2026-01-04,none,Pay EUR 588.74 today. This leaves at least EUR 1300 available over the next 90 days.
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,Pay IDR 10621000 today. This leaves at least IDR 13994300 available over the next 90 days.
request_206,1404.70,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,"Use 3 installments of EUR 486.96, starting 3 August 2025. This leaves at least EUR 900 available."
request_207,4516.76,affordable_later,wait,2026-07-15:11830,2026-07-15,none,"Wait until 15 July 2026, then pay ZAR 11830 in full. Paying earlier would take the balance below the ZAR 13600 minimum."
request_208,169452.16,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 4413000 request. Although IDR 169452.16 is available today, the full amount cannot be completed safely within 90 days."
request_209,1660.21,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 56914 request. Although ZAR 1660.21 is available today, the full amount cannot be completed safely within 90 days."
request_210,989.08,affordable_with_plan,partial_payment,2026-04-06:989.08|2026-04-15:370.94,2026-04-15,none,Pay USD 989.08 today and the remaining USD 370.94 on 15 April 2026. This completes the full request and keeps the USD 2000 minimum protected.
request_211,252.01,affordable_later,wait,2024-11-15:1788.60,2024-11-15,none,"Wait until 15 November 2024, then pay EUR 1788.60 in full. Paying earlier would take the balance below the EUR 1500 minimum."
request_212,5554894.61,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 71934000 request. Although IDR 5554894.61 is available today, the full amount cannot be completed safely within 90 days."
request_213,2375.44,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 3362.40 request. Although USD 2375.44 is available today, the full amount cannot be completed safely within 90 days."
request_214,41878.70,affordable_with_plan,partial_payment,2024-12-04:41878.70|2024-12-15:27871.30,2024-12-15,none,Pay INR 41878.70 today and the remaining INR 27871.30 on 15 December 2024. This completes the full request and keeps the INR 174900 minimum protected.
request_215,29986,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,"Use 3 installments of ZAR 10395.15, starting 9 May 2025. This leaves at least ZAR 15700 available."
request_216,483.08,affordable_later,wait,2026-09-15:3332.40,2026-09-15,none,"Wait until 15 September 2026, then pay USD 3332.40 in full. Paying earlier would take the balance below the USD 1800 minimum."
request_217,19583.40,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-05-15,none,"Use 3 installments of ZAR 12889.07, starting 19 March 2024. This leaves at least ZAR 26800 available."
request_218,24611852.51,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-09-15,none,"Use 3 installments of IDR 21195893.33, starting 7 August 2025. This leaves at least IDR 34477200 available."
request_219,711.17,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-05-15,none,"Use 3 installments of EUR 580.01, starting 7 April 2026. This leaves at least EUR 1100 available."
request_220,72.34,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 3118.50 request. Although EUR 72.34 is available today, the full amount cannot be completed safely within 90 days."
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,Pay INR 109800 today. This leaves at least INR 81500 available over the next 90 days.
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,Pay ZAR 34078 today. This leaves at least ZAR 27300 available over the next 90 days.
request_223,898.70,affordable_now,full_payment,2024-09-07:898.70,2024-09-07,none,Pay EUR 898.70 today. This leaves at least EUR 800 available over the next 90 days.
request_224,10327000,affordable_with_plan,installments,2025-02-04:5370040|2025-03-04:5370040,2025-02-04,none,"Use 2 installments of IDR 5370040, starting 4 February 2025. This leaves at least IDR 22187600 available."
request_225,9590423.21,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-09-15,none,"Use 3 installments of IDR 7647120, starting 20 July 2026. This leaves at least IDR 17670700 available."
request_226,157000,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,Pay INR 157000 today. This leaves at least INR 209400 available over the next 90 days.
request_227,7567.26,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 259700 request. Although INR 7567.26 is available today, the full amount cannot be completed safely within 90 days."
request_228,1601201.62,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 63327000 request. Although IDR 1601201.62 is available today, the full amount cannot be completed safely within 90 days."
request_229,548.38,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-05-15,none,"Use 3 installments of EUR 529.29, starting 18 March 2024. This leaves at least EUR 1000 available."
request_230,3537.60,affordable_now,full_payment,2025-08-06:3537.60,2025-08-06,none,Pay EUR 3537.60 today. This leaves at least EUR 2000 available over the next 90 days.
request_231,11022.45,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 35706 request. Although ZAR 11022.45 is available today, the full amount cannot be completed safely within 90 days."
request_232,631.97,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1970.10 request. Although EUR 631.97 is available today, the full amount cannot be completed safely within 90 days."
request_233,0,not_affordable,not_recommended,none,,none,Do not make this payment by 17 December 2025. None of the available options keeps the IDR 10365700 minimum protected.
request_234,183.19,affordable_later,wait,2026-09-15:1213.30,2026-09-15,none,"Wait until 15 September 2026, then pay EUR 1213.30 in full. Paying earlier would take the balance below the EUR 700 minimum."
request_235,967.20,affordable_now,full_payment,2024-09-06:967.20,2024-09-06,none,Pay USD 967.20 today. This leaves at least USD 700 available over the next 90 days.
request_236,5830036.97,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 52383000 request. Although IDR 5830036.97 is available today, the full amount cannot be completed safely within 90 days."
request_237,23826000,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,Pay IDR 23826000 today. This leaves at least IDR 22431500 available over the next 90 days.
request_238,663.60,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,"Use 3 installments of USD 230.05, starting 7 December 2024. This leaves at least USD 700 available."
request_239,642,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,Pay USD 642 today. This leaves at least USD 600 available over the next 90 days.
request_240,13746.71,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 101200 request. Although INR 13746.71 is available today, the full amount cannot be completed safely within 90 days."
request_241,21052000,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,"Use 3 installments of IDR 7298026.67, starting 17 March 2024. This leaves at least IDR 19252000 available."
request_242,0,not_affordable,not_recommended,none,,none,Do not make this payment by 25 August 2025. None of the available options keeps the EUR 600 minimum protected.
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,Pay ZAR 17468 today. This leaves at least ZAR 19900 available over the next 90 days.
request_244,49918,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,Pay ZAR 49918 today. This leaves at least ZAR 45900 available over the next 90 days.
request_245,0,not_affordable,not_recommended,none,,none,Do not make this payment by 15 January 2026. None of the available options keeps the INR 94600 minimum protected.
request_246,64086,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,"Use 3 installments of ZAR 22216.48, starting 3 April 2026. This leaves at least ZAR 39300 available."
request_247,1059.30,affordable_now,full_payment,2024-09-05:1059.30,2024-09-05,none,Pay EUR 1059.30 today. This leaves at least EUR 1300 available over the next 90 days.
request_248,937.87,affordable_with_plan,partial_payment,2025-02-07:937.87|2025-04-15:1027.73,2025-04-15,none,Pay USD 937.87 today and the remaining USD 1027.73 on 15 April 2025. This completes the full request and keeps the USD 1300 minimum protected.
request_249,101.71,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 643.20 request. Although USD 101.71 is available today, the full amount cannot be completed safely within 90 days."
request_250,15440.18,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 124278 request. Although ZAR 15440.18 is available today, the full amount cannot be completed safely within 90 days."
request_251,688.17,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1513.60 request. Although EUR 688.17 is available today, the full amount cannot be completed safely within 90 days."
request_252,3988819.51,affordable_later,wait,2026-09-15:28082000,2026-09-15,none,"Wait until 15 September 2026, then pay IDR 28082000 in full. Paying earlier would take the balance below the IDR 15152200 minimum."
request_253,1562.83,affordable_with_plan,installments,2024-03-21:984.60|2024-04-21:984.60|2024-05-22:984.60,2024-05-15,none,"Use 3 installments of EUR 984.60, starting 21 March 2024. This leaves at least EUR 2300 available."
request_254,637.23,affordable_later,wait,2025-10-15:3535.20,2025-10-15,none,"Wait until 15 October 2025, then pay USD 3535.20 in full. Paying earlier would take the balance below the USD 2500 minimum."
request_255,750746.03,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 3345000 request. Although IDR 750746.03 is available today, the full amount cannot be completed safely within 90 days."
request_256,152799.25,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-07-15,none,"Use 3 installments of INR 75816, starting 10 June 2024. This leaves at least INR 168600 available."
request_257,317.96,affordable_later,wait,2026-01-15:1352.40,2026-01-15,none,"Wait until 15 January 2026, then pay USD 1352.40 in full. Paying earlier would take the balance below the USD 1600 minimum."
request_258,1113.60,affordable_now,full_payment,2026-01-07:1113.60,2026-01-07,none,Pay USD 1113.60 today. This leaves at least USD 500 available over the next 90 days.
request_259,253.88,affordable_later,wait,2024-11-15:935,2024-11-15,none,"Wait until 15 November 2024, then pay EUR 935 in full. Paying earlier would take the balance below the EUR 600 minimum."
request_260,6375023.47,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 52079000 request. Although IDR 6375023.47 is available today, the full amount cannot be completed safely within 90 days."
request_261,1830.40,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,Pay EUR 1830.40 today. This leaves at least EUR 1500 available over the next 90 days.
request_262,9236000,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,Pay IDR 9236000 today. This leaves at least IDR 31018500 available over the next 90 days.
request_263,0,not_affordable,not_recommended,none,,none,Do not make this payment by 15 June 2025. None of the available options keeps the ZAR 24100 minimum protected.
request_264,28572.15,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 111300 request. Although INR 28572.15 is available today, the full amount cannot be completed safely within 90 days."
request_265,0,not_affordable,not_recommended,none,,none,Do not make this payment by 21 March 2024. None of the available options keeps the INR 189700 minimum protected.
request_266,480.98,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 935 request. Although EUR 480.98 is available today, the full amount cannot be completed safely within 90 days."
request_267,1641.71,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-02-15,none,"Use 3 installments of EUR 667.33, starting 8 January 2026. This leaves at least EUR 1500 available."
request_268,1041.50,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2426.60 request. Although EUR 1041.50 is available today, the full amount cannot be completed safely within 90 days."
request_269,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2 January 2026. None of the available options keeps the ZAR 23100 minimum protected.
request_270,96.77,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 3028.80 request. Although USD 96.77 is available today, the full amount cannot be completed safely within 90 days."
request_271,13812.36,affordable_later,wait,2024-11-15:91300,2024-11-15,none,"Wait until 15 November 2024, then pay INR 91300 in full. Paying earlier would take the balance below the INR 58200 minimum."
request_272,5415269.10,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-03-15,none,"Use 3 installments of IDR 4709466.67, starting 12 February 2025. This leaves at least IDR 7508600 available."
request_273,9628167.38,affordable_with_plan,partial_payment,2026-04-07:9628167.38|2026-04-15:6232832.62,2026-04-15,none,Pay IDR 9628167.38 today and the remaining IDR 6232832.62 on 15 April 2026. This completes the full request and keeps the IDR 18774600 minimum protected.
request_274,2131.94,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2713.70 request. Although EUR 2131.94 is available today, the full amount cannot be completed safely within 90 days."
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,Pay IDR 15884000 today. This leaves at least IDR 12760100 available over the next 90 days.
